id,group,downloadsAllTime,downloads30d,likes,createdAt,lastModified,observedAt,url
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v1,Stage 2,1048,1048,4,2026-08-27T12:51:50.000Z,2026-09-11T03:18:22.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v1
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v2,Stage 2,984,984,1,2026-08-27T13:02:40.000Z,2026-09-11T03:18:26.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v2
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v3,Stage 2,1058,1058,6,2026-08-27T13:13:58.000Z,2026-09-11T03:18:30.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_v3
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1,Stage 1,1313,1270,9,2026-08-27T12:49:10.000Z,2026-09-11T03:17:29.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_DFlash2_NCPFlash,DFlash,766,766,0,2026-08-29T17:12:44.000Z,2026-09-11T03:18:33.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage2_DFlash2_NCPFlash
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step100000,Stage 1,525,525,0,2026-09-09T06:13:07.000Z,2026-09-11T03:18:38.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step100000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step200000,Stage 1,512,512,0,2026-09-09T06:22:47.000Z,2026-09-11T03:18:43.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step200000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step300000,Stage 1,526,526,0,2026-09-09T06:25:06.000Z,2026-09-11T03:18:47.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step300000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step400000,Stage 1,524,524,0,2026-09-09T06:26:55.000Z,2026-09-11T03:18:51.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step400000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step500000,Stage 1,528,528,0,2026-09-09T06:28:30.000Z,2026-09-11T03:18:54.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step500000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step600000,Stage 1,529,529,0,2026-09-09T06:30:09.000Z,2026-09-11T03:18:59.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step600000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step700000,Stage 1,540,540,0,2026-09-09T06:31:34.000Z,2026-09-11T03:19:03.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step700000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step800000,Stage 1,550,550,0,2026-09-09T06:33:24.000Z,2026-09-11T03:19:07.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step800000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step900000,Stage 1,555,555,0,2026-09-09T06:35:05.000Z,2026-09-11T03:19:11.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step900000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1000000,Stage 1,567,567,0,2026-09-09T06:37:21.000Z,2026-09-11T03:19:15.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1000000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1100000,Stage 1,581,581,0,2026-09-09T06:38:50.000Z,2026-09-11T03:19:19.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1100000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1200000,Stage 1,586,586,0,2026-09-09T06:40:50.000Z,2026-09-11T03:19:23.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1200000
ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1300000,Stage 1,739,739,1,2026-09-09T06:42:23.000Z,2026-09-11T03:19:27.000Z,2026-09-26T05:03:49Z,https://huggingface.co/ArchSpace-Collection/NCP_ArchPreview_dolma3_8.9B_Stage1_Step1300000
